similarity,sentence1,sentence2
1,person horse jumps broken airplane,person training horse competition
0,person horse jumps broken airplane,person diner ordering omelette
2,person horse jumps broken airplane,person outdoors horse
1,children smiling waving camera,smiling parents
2,children smiling waving camera,children present
0,children smiling waving camera,kids frowning
0,boy jumping skateboard middle red bridge,boy skates sidewalk
2,boy jumping skateboard middle red bridge,boy skateboarding trick
1,boy jumping skateboard middle red bridge,boy wearing safety equipment
1,older man sits orange juice small table coffee shop employees bright colored shirts smile background,older man drinks juice waits daughter get work
0,older man sits orange juice small table coffee shop employees bright colored shirts smile background,boy flips burger
1,older man sits orange juice small table coffee shop employees bright colored shirts smile background,elderly man sits small shop
1,two blond women hugging one another,women hugging vacation
0,two blond women hugging one another,women sleeping
2,two blond women hugging one another,women showing affection
1,people restaurant setting one drinking orange juice,people eating omelettes
0,people restaurant setting one drinking orange juice,people sitting desks school
2,people restaurant setting one drinking orange juice,diners restaurant
2,older man drinking orange juice restaurant,man drinking juice
0,older man drinking orange juice restaurant,two women restaurant drinking wine
1,older man drinking orange juice restaurant,man restaurant waiting meal arrive
1,man blondhair brown shirt drinking public water fountain,blond man getting drink water fountain park
0,man blondhair brown shirt drinking public water fountain,blond man wearing brown shirt reading book bench park
2,man blondhair brown shirt drinking public water fountain,blond man drinking water fountain
0,two women lunch hugging saying goodbye,friends scowl full dinner table
2,two women lunch hugging saying goodbye,two woman picture
1,two women lunch hugging saying goodbye,friends met first time 20 years great time catching
1,two women holding food carryout containers hug,two sisters saw across crowded diner shared hug clutching doggie bags
0,two women holding food carryout containers hug,two groups rival gang members flipped
2,two women holding food carryout containers hug,two women hug
1,little league team tries catch runner sliding base afternoon game,team trying score games winning
2,little league team tries catch runner sliding base afternoon game,team trying tag runner
0,little league team tries catch runner sliding base afternoon game,team playing baseball saturn
0,school special event order show american culture cultures dealt parties,school hosts basketball game
1,school special event order show american culture cultures dealt parties,high school hosting event
2,school special event order show american culture cultures dealt parties,school hosting event
0,high fashion ladies wait outside tram beside crowd people city,women care clothes wear
2,high fashion ladies wait outside tram beside crowd people city,women waiting tram
1,high fashion ladies wait outside tram beside crowd people city,women enjoy good fashion sense
1,man woman child enjoying beach,child mom dad summer vacation beach
2,man woman child enjoying beach,family three beach
0,man woman child enjoying beach,family three mall shopping
1,people waiting get train getting,people waiting train sitting
2,people waiting get train getting,people getting train
2,people waiting get train getting,people waiting train
2,couple playing little boy beach,couple playing young child outside
1,couple playing little boy beach,couple playing frisbee young child beach
0,couple playing little boy beach,couple watch little girl play beach
0,couple play tide young son,family sitting dinner
2,couple play tide young son,family outside
1,couple play tide young son,family vacation
0,man woman cross street front pizza gyro restaurant,people standing still curb
2,man woman cross street front pizza gyro restaurant,near couple restaurants two people walk across street
1,man woman cross street front pizza gyro restaurant,couple walking across street together
0,woman green jacket hood head looking towards valley,woman nake
1,woman green jacket hood head looking towards valley,woman cold
2,woman green jacket hood head looking towards valley,woman wearing green
1,woman white foreground man slightly behind walking sign johns pizza gyro background,man sign caucasian
0,woman white foreground man slightly behind walking sign johns pizza gyro background,protesting outside capital
2,woman white foreground man slightly behind walking sign johns pizza gyro background,woman white
2,woman white foreground man slightly behind walking sign johns pizza gyro background,man advertising restaurant
0,woman white foreground man slightly behind walking sign johns pizza gyro background,woman wearing black
1,woman white foreground man slightly behind walking sign johns pizza gyro background,man woman walk crowded city street
2,woman white foreground man slightly behind walking sign johns pizza gyro background,woman wearing white
1,woman white foreground man slightly behind walking sign johns pizza gyro background,working johns pizza
0,woman white foreground man slightly behind walking sign johns pizza gyro background,olympic swimming
0,woman white foreground man slightly behind walking sign johns pizza gyro background,man soman eating together johns pizza gyro
2,woman white foreground man slightly behind walking sign johns pizza gyro background,walking sign
1,woman white foreground man slightly behind walking sign johns pizza gyro background,woman waiting friend
0,woman white foreground man slightly behind walking sign johns pizza gyro background,man sitting sign johns pizza gyro arms
2,woman white foreground man slightly behind walking sign johns pizza gyro background,woman man outdoors
1,woman white foreground man slightly behind walking sign johns pizza gyro background,woman ordering pizza
