similarity,sentence1,sentence2
1,two women embracing holding go packages,sisters hugging goodbye holding go packages eating lunch
2,two women embracing holding go packages,two woman holding packages
0,two women embracing holding go packages,men fighting outside deli
2,two young children blue jerseys one number 9 one number 2 standing wooden steps bathroom washing hands sink,two kids numbered jerseys wash hands
1,two young children blue jerseys one number 9 one number 2 standing wooden steps bathroom washing hands sink,two kids ballgame wash hands
0,two young children blue jerseys one number 9 one number 2 standing wooden steps bathroom washing hands sink,two kids jackets walk school
0,man selling donuts customer world exhibition event held city angeles,woman drinks coffee small cafe
1,man selling donuts customer world exhibition event held city angeles,man selling donuts customer world exhibition event people wait line behind
2,man selling donuts customer world exhibition event held city angeles,man selling donuts customer
2,two young boys opposing teams play football wearing full protection uniforms helmets,boys play football
0,two young boys opposing teams play football wearing full protection uniforms helmets,dog eats bowl
1,two young boys opposing teams play football wearing full protection uniforms helmets,boys scoring touchdown
1,man blue shirt standing front garagelike structure painted geometric designs,man repainting garage
2,man blue shirt standing front garagelike structure painted geometric designs,man wearing blue shirt
0,man blue shirt standing front garagelike structure painted geometric designs,man wearing black shirt
2,blue sky white clouds child reaches touch propeller plane standing parked field grass,child reaching touch propeller plane
1,blue sky white clouds child reaches touch propeller plane standing parked field grass,child reaching touch propeller curiosity
0,blue sky white clouds child reaches touch propeller plane standing parked field grass,child playing ball
2,woman cartwheel wearing bikini sand next beach,woman cartwheel
0,woman cartwheel wearing bikini sand next beach,woman fixing home
0,woman cartwheel wearing bikini sand next beach,woman cartwheel falls head
2,two men bicycles competing race,people riding bikes
1,two men bicycles competing race,men riding bicycles street
0,two men bicycles competing race,people catching fish
1,young boy field flowers carrying ball,boy leaving baseball game
2,young boy field flowers carrying ball,boy field
0,young boy field flowers carrying ball,dog pool
0,families waiting line amusement park turn ride,restaurant bad
0,families waiting line amusement park turn ride,people waiting line restaurant
0,families waiting line amusement park turn ride,people waiting see movie
2,senior waiting window restaurant serves sandwiches,person waits served food
0,senior waiting window restaurant serves sandwiches,man waiting line bus
1,senior waiting window restaurant serves sandwiches,man looking order grilled cheese sandwich
2,man black suit white shirt black bowtie playing instrument rest symphony surrounding,person suit
0,man black suit white shirt black bowtie playing instrument rest symphony surrounding,nobody suit
1,man black suit white shirt black bowtie playing instrument rest symphony surrounding,tall person suit
2,two women drinks smoking cigarettes bar,two women bar
0,two women drinks smoking cigarettes bar,three women bar
1,two women drinks smoking cigarettes bar,women celebrating bar
0,outdoor event asianthemed area crowd congregates one person yellow chinese dragon costume confronts camera,single man next camera
1,outdoor event asianthemed area crowd congregates one person yellow chinese dragon costume confronts camera,crowd dancing
1,outdoor event asianthemed area crowd congregates one person yellow chinese dragon costume confronts camera,crowd front camera
0,two doctors perform surgery patient,two surgeons lunch
2,two doctors perform surgery patient,doctors performing surgery
1,two doctors perform surgery patient,two doctors performing surgery man
0,white dog long hair jumps catch red green toy,white dog long hair swimming underwater
2,white dog long hair jumps catch red green toy,animal jumping catch object
1,white dog long hair jumps catch red green toy,white chihuahua mix long curly hair jumping catch red green toy bone
1,kids amusement ride,kids ride favorite amusement ride
0,kids amusement ride,car broke side road
2,kids amusement ride,kids ride amusement ride
1,man black shirt playing golf outside,man plays golf course relax
0,man black shirt playing golf outside,man black shirt trades pokemon cards girlfriend
2,man black shirt playing golf outside,man wearing black shirt plays game golf
1,older gentleman finds humorous getting picture taken laundry,blond man laughs laundry
2,older gentleman finds humorous getting picture taken laundry,guy laughs laundry
0,older gentleman finds humorous getting picture taken laundry,two ladies pin clothes dry
2,indian woman washing cleaning dirty laundry lake background kid appears jumped lake,indian woman laundry lake
0,indian woman washing cleaning dirty laundry lake background kid appears jumped lake,indian woman putting laundry machine
1,indian woman washing cleaning dirty laundry lake background kid appears jumped lake,indian woman laundry son lake
0,man green jersey rollerskates stumbles man black jersey appears collide,driving cars
1,man green jersey rollerskates stumbles man black jersey appears collide,fall ground
2,man green jersey rollerskates stumbles man black jersey appears collide,man stumbles stumbles rollerskates
0,group onlookers glance person strange trick head,boy card trick
1,group onlookers glance person strange trick head,onlookers impressed trick
2,group onlookers glance person strange trick head,people watch another person trick
0,middle eastern woman wearing pink headscarf walking beside woman purple headscarf,one woman wearing head scarf
1,middle eastern woman wearing pink headscarf walking beside woman purple headscarf,two women friends
0,taxi suv drives past urban construction site man walks street direction,man chasing suv going direction
2,taxi suv drives past urban construction site man walks street direction,suv man going opposite directions
1,taxi suv drives past urban construction site man walks street direction,taxi suv races pick clients man walks peacefully direction
0,people wearing red shirts standing large pool water splashes around,nobody shirt
2,people wearing red shirts standing large pool water splashes around,person shirt
1,people wearing red shirts standing large pool water splashes around,tall person shirt
0,man white tshirt takes picture middle street two public buses background,man wearing black shirt
2,man white tshirt takes picture middle street two public buses background,man wearing white shirt
